,location,gdp_per_capita
0,Afghanistan,1803.987
1,Albania,11803.431
2,Algeria,13913.839
3,Angola,5819.495
4,Argentina,18933.907
5,Armenia,8787.58
6,Australia,44648.71
7,Austria,45436.685999999994
8,Azerbaijan,15847.419
9,Bahrain,43290.705
10,Bangladesh,3523.9839999999995
11,Belarus,17167.967
12,Belgium,42658.576
13,Benin,2064.236
14,Bolivia,6885.829
15,Bosnia and Herzegovina,11713.895
16,Botswana,15807.374
17,Brazil,14103.452
18,Bulgaria,18563.307
19,Burkina Faso,1703.1020000000003
20,Burundi,702.2250000000001
21,Cambodia,3645.07
22,Cameroon,3364.926
23,Canada,44017.591
24,Central African Republic,661.2400000000001
25,Chad,1768.153
26,Chile,22767.037
27,China,15308.712
28,Colombia,13254.949000000002
29,Congo,4881.406
30,Costa Rica,15524.995
31,Cote d'Ivoire,3601.0059999999994
32,Croatia,22669.796999999995
33,Czechia,32605.906000000003
34,Democratic Republic of Congo,808.133
35,Denmark,46682.515
36,Djibouti,2705.4059999999995
37,Dominican Republic,14600.861000000003
38,Ecuador,10581.936
39,Egypt,10550.206
40,El Salvador,7292.458
41,Equatorial Guinea,22604.873
42,Eritrea,1510.459
43,Estonia,29481.252
44,Eswatini,7738.975
45,Ethiopia,1729.927
46,Finland,40585.721
47,France,38605.671
48,Gabon,16562.413
49,Gambia,1561.7669999999998
50,Georgia,9745.079
51,Germany,45229.245
52,Ghana,4227.63
53,Greece,24574.382
54,Guatemala,7423.807999999999
55,Guinea,1998.926
56,Guinea-Bissau,1548.675
57,Haiti,1653.173
58,Honduras,4541.795
59,Hong Kong,56054.92
60,Hungary,26777.561
61,India,6426.674
62,Indonesia,11188.744
63,Iran,19082.62
64,Iraq,15663.986
65,Ireland,67335.293
66,Israel,33132.32
67,Italy,35220.084
68,Jamaica,8193.571
69,Japan,39002.223
70,Jordan,8337.49
71,Kazakhstan,24055.588
72,Kenya,2993.028
73,Kosovo,9795.834
74,Kuwait,65530.537000000004
75,Kyrgyzstan,3393.474
76,Laos,6397.359999999999
77,Latvia,25063.846
78,Lebanon,13367.565
79,Lesotho,2851.153
80,Liberia,752.7879999999999
81,Libya,17881.509
82,Lithuania,29524.265000000003
83,Madagascar,1416.44
84,Malawi,1095.042
85,Malaysia,26808.164
86,Mali,2014.306
87,Mauritania,3597.633
88,Mauritius,20292.745
89,Mexico,17336.469
90,Moldova,5189.972
91,Mongolia,11840.846
92,Morocco,7485.013
93,Mozambique,1136.103
94,Myanmar,5591.597000000001
95,Namibia,9541.808
96,Nepal,2442.804
97,Netherlands,48472.54499999999
98,New Zealand,36085.843
99,Nicaragua,5321.444
100,Niger,926.0
101,Nigeria,5338.453999999999
102,North Macedonia,13111.214
103,Norway,64800.057
104,Oman,37960.709
105,Pakistan,5034.708
106,Palestine,4449.898
107,Panama,22267.037
108,Papua New Guinea,3823.194
109,Paraguay,8827.01
110,Peru,12236.705999999998
111,Philippines,7599.188
112,Poland,27216.445
113,Portugal,27936.896
114,Qatar,116935.60000000002
115,Romania,23313.198999999997
116,Russia,24765.953999999998
117,Rwanda,1854.211
118,Saudi Arabia,49045.411
119,Senegal,2470.58
120,Serbia,14048.881000000001
121,Sierra Leone,1390.2999999999997
122,Singapore,85535.383
123,Slovakia,30155.152
124,Slovenia,31400.839999999997
125,South Africa,12294.876
126,South Korea,35938.374
127,South Sudan,1569.8879999999997
128,Spain,34272.36
129,Sri Lanka,11669.077
130,Sudan,4466.507
131,Sweden,46949.282999999996
132,Switzerland,57410.166
133,Tajikistan,2896.9130000000005
134,Tanzania,2683.304
135,Thailand,16277.671000000002
136,Timor,6570.102000000001
137,Togo,1429.813
138,Trinidad and Tobago,28763.071000000004
139,Tunisia,10849.297
140,Turkey,25129.341
141,Uganda,1697.7069999999999
142,Ukraine,7894.393
143,United Arab Emirates,67293.483
144,United Kingdom,39753.244
145,United States,54225.445999999996
146,Uruguay,20551.409
147,Uzbekistan,6253.104
148,Venezuela,16745.022
149,Vietnam,6171.884000000001
150,Yemen,1479.1469999999997
151,Zambia,3689.251
152,Zimbabwe,1899.7750000000003
