location,gdp_per_capita
Afghanistan,1803.987
Albania,11803.431
Algeria,13913.839
Angola,5819.495
Argentina,18933.907
Armenia,8787.58
Australia,44648.71
Austria,45436.686
Azerbaijan,15847.419
Bahrain,43290.705
Bangladesh,3523.984
Belarus,17167.967
Belgium,42658.576
Benin,2064.236
Bolivia,6885.829
Bosnia and Herzegovina,11713.895
Botswana,15807.374
Brazil,14103.452
Bulgaria,18563.307
Burkina Faso,1703.102
Burundi,702.225
Cambodia,3645.07
Cameroon,3364.926
Canada,44017.591
Central African Republic,661.24
Chad,1768.153
Chile,22767.037
China,15308.712
Colombia,13254.949
Congo,4881.406
Costa Rica,15524.995
Cote d'Ivoire,3601.006
Croatia,22669.797
Cuba,0
Czechia,32605.906
Democratic Republic of Congo,808.133
Denmark,46682.515
Djibouti,2705.406
Dominican Republic,14600.861
Ecuador,10581.936
Egypt,10550.206
El Salvador,7292.458
Equatorial Guinea,22604.873
Eritrea,1510.459
Estonia,29481.252
Eswatini,7738.975
Ethiopia,1729.927
Finland,40585.721
France,38605.671
Gabon,16562.413
Gambia,1561.767
Georgia,9745.079
Germany,45229.245
Ghana,4227.63
Greece,24574.382
Guatemala,7423.808
Guinea,1998.926
Guinea-Bissau,1548.675
Haiti,1653.173
Honduras,4541.795
Hong Kong,56054.92
Hungary,26777.561
India,6426.674
Indonesia,11188.744
Iran,19082.62
Iraq,15663.986
Ireland,67335.293
Israel,33132.32
Italy,35220.084
Jamaica,8193.571
Japan,39002.223
Jordan,8337.49
Kazakhstan,24055.588
Kenya,2993.028
Kosovo,9795.834
Kuwait,65530.537
Kyrgyzstan,3393.474
Laos,6397.36
Latvia,25063.846
Lebanon,13367.565
Lesotho,2851.153
Liberia,752.788
Libya,17881.509
Lithuania,29524.265
Madagascar,1416.44
Malawi,1095.042
Malaysia,26808.164
Mali,2014.306
Mauritania,3597.633
Mauritius,20292.745
Mexico,17336.469
Moldova,5189.972
Mongolia,11840.846
Morocco,7485.013
Mozambique,1136.103
Myanmar,5591.597
Namibia,9541.808
Nepal,2442.804
Netherlands,48472.545
New Zealand,36085.843
Nicaragua,5321.444
Niger,926
Nigeria,5338.454
North Macedonia,13111.214
Norway,64800.057
Oman,37960.709
Pakistan,5034.708
Palestine,4449.898
Panama,22267.037
Papua New Guinea,3823.194
Paraguay,8827.01
Peru,12236.706
Philippines,7599.188
Poland,27216.445
Portugal,27936.896
Qatar,116935.6
Romania,23313.199
Russia,24765.954
Rwanda,1854.211
Saudi Arabia,49045.411
Senegal,2470.58
Serbia,14048.881
Sierra Leone,1390.3
Singapore,85535.383
Slovakia,30155.152
Slovenia,31400.84
Somalia,0
South Africa,12294.876
South Korea,35938.374
South Sudan,1569.888
Spain,34272.36
Sri Lanka,11669.077
Sudan,4466.507
Sweden,46949.283
Switzerland,57410.166
Syria,0
Taiwan,0
Tajikistan,2896.913
Tanzania,2683.304
Thailand,16277.671
Timor,6570.102
Togo,1429.813
Trinidad and Tobago,28763.071
Tunisia,10849.297
Turkey,25129.341
Uganda,1697.707
Ukraine,7894.393
United Arab Emirates,67293.483
United Kingdom,39753.244
United States,54225.446
Uruguay,20551.409
Uzbekistan,6253.104
Venezuela,16745.022
Vietnam,6171.884
Yemen,1479.147
Zambia,3689.251
Zimbabwe,1899.775
